K14338	K17688
K01232	K16055
K07412	K17687
K06243	K08570
K04349	K07826
K00016	K00656
K01596	K12358
K09020	K09021
K00273	K00613
K01513	K11751
K00009	K16370
K08289	K11175
K01011	K03119
K00743	K00781
K04389	K17847
K11224	K17101
K00512	K07434
K04729	K05402
K00635	K17900
K17060	K17061
K03041	K12318
K00914	K01110
K04546	K08045
K10351	K12314
K01658	K04516
K03151	K04487
K04361	K05451
K00944	K13797
K05719	K06485
K11336	K13600
K00820	K11541
K03784	K13482
K02428	K03007
K04515	K04873
K07437	K17720
K00844	K01810
K04146	K04538
K01638	K04072
K00276	K01593
K01473	K08687
K01011	K16937
K04345	K04371
K01964	K07509
K00963	K01784
K07424	K17864
K17687	K17689
K04379	K05448
K01768	K03017
K03017	K08043
K04765	K13809
K00643	K14272
K05094	K05453
K05704	K17447
K06232	K11989
K10534	K15578
K00197	K15230
K01655	K15024
K04539	K04857
K15764	K16246
K00922	K06451
K13799	K14642
K00196	K00201
K01736	K14187
K01818	K05305
K00194	K15024
K00015	K01816
K00225	K02822
K00181	K00182
K00715	K03368
K00920	K01099
K00022	K13767
K14513	K14514
K00730	K13999
K04852	K05004
K10852	K17837
K05050	K13072
K01963	K15234
K08718	K14641
K04371	K05406
K16268	K17067
K04357	K05094
K02428	K12324
K04537	K04999
K00197	K01895
K00609	K00813
K05065	K11219
K00967	K14156
K02999	K14642
K05094	K05451
K13789	K15793
K00892	K14641
K02787	K12111
K03363	K12456
K10152	K11222
K01519	K07816
K01114	K01613
K00600	K00603
K04361	K17447
K04709	K04717
K01769	K02428
K00088	K00569
K00844	K15922
K00600	K10714
K00052	K01702
K00001	K14581
K00643	K01698
K00656	K02160
K00824	K01775
K00926	K01948
K00797	K09251
K05859	K16342
K04571	K14009
K07411	K12664
K01403	K16866
K00171	K15024
K00488	K00489
K00197	K10713
K02105	K04385
K01822	K16051
K00849	K01229
K03055	K12318
K00128	K01918
K04699	K05056
K00124	K01433
K04563	K12760
K01556	K14263
K01734	K12972
K00748	K03269
K04369	K04527
K00261	K01915
K01240	K10524
K00802	K12259
K00287	K08289
K06278	K06493
K11180	K17995
K00716	K03663
K08060	K08063
K04447	K07293
K01810	K08094
K04037	K11333
K01129	K02685
K01964	K15017
K00370	K15876
K01519	K02343
K04960	K05858
K05097	K05461
K00132	K00170
K00838	K14085
K04660	K05085
K01403	K04371
K04628	K12351
K07972	K13802
K00034	K01053
K04363	K05633
K00940	K01518
K10150	K17229
K01120	K08044
K00950	K13940
K00962	K03002
K02428	K13763
K16951	K17996
K01080	K04710
K00264	K11541
K01081	K13755
K12249	K15799
K00453	K07130
K00102	K00656
K16338	K16867
K00288	K11175
K14606	K17911
K00720	K12348
K08691	K14451
K07199	K07201
K01627	K03270
K06061	K06062
